Arrival_Departure,Domestic_International,FlightType,Passenger_Count
Arrival,Domestic,Scheduled Carriers,2559984
Arrival,Domestic,Scheduled Carriers,1424520
Departure,Domestic,Scheduled Carriers,1675442
Departure,Domestic,Scheduled Carriers,2850617
Departure,Domestic,Scheduled Carriers,1883942
Arrival,Domestic,Scheduled Carriers,1578485
Arrival,Domestic,Scheduled Carriers,2907593
Arrival,Domestic,Scheduled Carriers,2335786
Departure,Domestic,Scheduled Carriers,1603070
Arrival,Domestic,Scheduled Carriers,1986250
Arrival,Domestic,Scheduled Carriers,2780424
Arrival,Domestic,Scheduled Carriers,1927748
Departure,Domestic,Scheduled Carriers,2769477
Departure,Domestic,Scheduled Carriers,1620376
Arrival,Domestic,Scheduled Carriers,2348598
Arrival,Domestic,Scheduled Carriers,1945901
Arrival,Domestic,Scheduled Carriers,2407910
Arrival,Domestic,Scheduled Carriers,1849427
Arrival,Domestic,Scheduled Carriers,1685633
Departure,Domestic,Scheduled Carriers,2464224
Arrival,Domestic,Scheduled Carriers,1460617
Departure,Domestic,Scheduled Carriers,1434506
Departure,Domestic,Scheduled Carriers,1458427
Arrival,Domestic,Scheduled Carriers,2364152
Departure,Domestic,Scheduled Carriers,1738059
Departure,Domestic,Scheduled Carriers,1569708
Departure,Domestic,Scheduled Carriers,1561806
Arrival,Domestic,Scheduled Carriers,2372255
Departure,Domestic,Scheduled Carriers,1968698
Arrival,Domestic,Scheduled Carriers,1265282
Arrival,Domestic,Scheduled Carriers,2699220
Departure,Domestic,Scheduled Carriers,1699764
Arrival,Domestic,Scheduled Carriers,743405
Arrival,Domestic,Scheduled Carriers,1745966
Arrival,Domestic,Scheduled Carriers,2468573
Arrival,Domestic,Scheduled Carriers,1680739
Departure,Domestic,Scheduled Carriers,1900947
Arrival,Domestic,Scheduled Carriers,1961775
Arrival,Domestic,Scheduled Carriers,2192051
Departure,Domestic,Scheduled Carriers,2880050
Departure,Domestic,Scheduled Carriers,2011990
Arrival,Domestic,Scheduled Carriers,1758042
Departure,Domestic,Scheduled Carriers,1665982
Arrival,Domestic,Scheduled Carriers,1724161
Departure,Domestic,Scheduled Carriers,2080893
Departure,Domestic,Scheduled Carriers,2666043
Arrival,Domestic,Scheduled Carriers,2326782
Departure,Domestic,Scheduled Carriers,1754309
Departure,Domestic,Scheduled Carriers,1559437
Arrival,Domestic,Scheduled Carriers,1883713
Arrival,Domestic,Scheduled Carriers,1394229
Arrival,Domestic,Scheduled Carriers,2235289
Arrival,Domestic,Scheduled Carriers,2183306
Arrival,Domestic,Scheduled Carriers,2949237
Arrival,Domestic,Scheduled Carriers,1657547
Arrival,Domestic,Scheduled Carriers,700064
Departure,Domestic,Scheduled Carriers,2302366
Arrival,Domestic,Scheduled Carriers,1602443
Arrival,Domestic,Scheduled Carriers,1622706
Departure,Domestic,Scheduled Carriers,1920521
Arrival,Domestic,Scheduled Carriers,1999340
Departure,Domestic,Scheduled Carriers,2128890
Departure,Domestic,Scheduled Carriers,2084821
Arrival,Domestic,Scheduled Carriers,771307
Departure,Domestic,Scheduled Carriers,1835410
Departure,Domestic,Scheduled Carriers,1749870
Departure,Domestic,Scheduled Carriers,1791401
Departure,Domestic,Scheduled Carriers,1424870
Departure,Domestic,Scheduled Carriers,2349237
Arrival,Domestic,Scheduled Carriers,1707002
Departure,Domestic,Scheduled Carriers,1740759
Departure,Domestic,Scheduled Carriers,116260
Departure,Domestic,Scheduled Carriers,1766674
Departure,Domestic,Scheduled Carriers,2065476
Arrival,Domestic,Scheduled Carriers,1758787
Arrival,Domestic,Scheduled Carriers,2371903
Departure,Domestic,Scheduled Carriers,1977530
Departure,Domestic,Scheduled Carriers,1755322
Arrival,Domestic,Scheduled Carriers,1565931
Arrival,Domestic,Scheduled Carriers,1781040
Arrival,Domestic,Scheduled Carriers,1957810
Departure,Domestic,Scheduled Carriers,2206401
Arrival,Domestic,Scheduled Carriers,2149504
Departure,Domestic,Scheduled Carriers,2277170
Arrival,Domestic,Scheduled Carriers,2324465
Departure,Domestic,Scheduled Carriers,1772198
Departure,Domestic,Scheduled Carriers,2476704
Departure,Domestic,Scheduled Carriers,2547758
Arrival,Domestic,Scheduled Carriers,2466974
Departure,Domestic,Scheduled Carriers,2419733
Arrival,Domestic,Scheduled Carriers,2114397
Departure,Domestic,Scheduled Carriers,2152462
Arrival,Domestic,Scheduled Carriers,2303353
Arrival,Domestic,Scheduled Carriers,2494777
Arrival,Domestic,Scheduled Carriers,1543233
Departure,Domestic,Scheduled Carriers,1906160
Departure,Domestic,Scheduled Carriers,2083444
Departure,Domestic,Scheduled Carriers,2780240
Departure,Domestic,Scheduled Carriers,874138
