DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,YEAR,MONTH
61.0,57.0,2850.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
60.0,59.0,2950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
5.0,4.0,200.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
23.0,22.0,1100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
74.0,69.0,3450.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
74.0,69.0,3450.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
62.0,54.0,2700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
23.0,22.0,1100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
61.0,60.0,3000.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
60.0,53.0,2650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
30.0,27.0,1350.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
61.0,58.0,2900.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
61.0,58.0,2900.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
20.0,18.0,900.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
20.0,18.0,900.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
62.0,54.0,2700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
62.0,54.0,2700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
62.0,53.0,2650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
49.0,44.0,2200.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
31.0,26.0,1300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
47.0,44.0,2200.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
33.0,32.0,1600.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
47.0,44.0,2200.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
83.0,82.0,4100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
83.0,82.0,4100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
47.0,39.0,1950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
35.0,33.0,1650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
16.0,13.0,650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
